run_id,started_at,finished_at,status,rows_processed,inserted,updated,skipped,duration_seconds
10,2026-08-03 11:13:25.766861,2026-08-03 11:18:34.466720,success,1525,1077,83,365,308.699859
11,2026-08-03 11:18:37.226816,2026-08-03 11:19:12.928802,success,1542,17,61,1464,35.701986
12,2026-08-03 11:25:22.898858,2026-08-03 11:25:52.319307,success,1554,6,49,1499,29.420449
13,2026-08-03 11:26:53.410641,2026-08-03 11:27:13.435937,success,1555,1,20,1534,20.025296
14,2026-08-03 11:28:14.400659,2026-08-03 11:28:45.085199,success,1572,17,14,1541,30.68454
15,2026-08-03 11:29:46.441472,2026-08-03 11:30:06.865458,success,1577,5,14,1558,20.423986
16,2026-08-03 11:31:07.432231,2026-08-03 11:31:28.510332,success,1580,3,18,1559,21.078101
17,2026-08-03 11:32:29.344649,2026-08-03 11:32:54.557405,success,1582,2,12,1568,25.212756
18,2026-08-03 11:33:55.360731,2026-08-03 11:34:17.973454,success,1585,3,20,1562,22.612723
19,2026-08-03 11:35:18.413181,2026-08-03 11:35:39.912509,success,1588,3,13,1572,21.499328
20,2026-08-03 11:36:40.390419,2026-08-03 11:37:01.430154,success,1589,1,14,1574,21.039735
21,2026-08-03 11:38:02.441308,2026-08-03 11:38:22.218816,success,1591,2,12,1577,19.777508
22,2026-08-03 11:39:23.387541,2026-08-03 11:39:54.615954,success,1629,38,17,1574,31.228413
23,2026-08-03 11:40:55.427478,2026-08-03 11:41:23.394847,success,1633,4,46,1583,27.967369
24,2026-08-03 11:42:24.388252,2026-08-03 11:42:46.309858,success,1639,6,17,1616,21.921606
25,2026-08-03 11:43:47.340477,2026-08-03 11:44:09.662271,success,1642,3,22,1617,22.321794
26,2026-08-03 11:45:10.463699,2026-08-03 11:45:40.152496,success,1644,2,16,1626,29.688797
27,2026-08-03 11:46:41.423129,2026-08-03 11:47:05.068008,success,1644,0,21,1623,23.644879
28,2026-08-03 11:48:06.361983,2026-08-03 11:48:30.067176,success,1645,1,16,1628,23.705193
29,2026-08-03 11:49:30.367720,2026-08-03 11:49:50.535427,success,1648,3,13,1632,20.167707
30,2026-08-03 11:50:51.391502,2026-08-03 11:51:13.577921,success,1648,0,24,1624,22.186419
31,2026-08-03 11:52:14.358422,2026-08-03 11:52:38.431354,success,1649,1,14,1634,24.072932
32,2026-08-03 11:53:39.461661,2026-08-03 11:54:06.756709,success,1666,17,13,1636,27.295048
33,2026-08-03 11:55:07.388037,2026-08-03 11:55:32.713850,success,1667,1,18,1648,25.325813
34,2026-08-03 11:56:33.368129,2026-08-03 11:57:04.083501,success,1683,16,37,1630,30.715372
35,2026-08-03 11:58:04.412571,2026-08-03 11:58:25.341822,success,1684,1,23,1660,20.929251
36,2026-08-03 11:59:26.368168,2026-08-03 11:59:59.131496,success,1692,8,28,1656,32.763328
37,2026-08-03 12:01:00.424851,2026-08-03 12:01:29.159491,success,1695,3,36,1656,28.73464
38,2026-08-03 12:02:30.407516,2026-08-03 12:02:54.872311,success,1696,1,27,1668,24.464795
39,2026-08-03 12:03:55.337843,2026-08-03 12:04:17.563434,success,1698,2,22,1674,22.225591
40,2026-08-03 12:05:18.418921,2026-08-03 12:05:51.702248,success,1720,22,28,1670,33.283327
41,2026-08-03 12:06:52.387545,2026-08-03 12:07:17.071335,success,1722,2,29,1691,24.68379
42,2026-08-03 12:08:18.425515,2026-08-03 12:08:48.667849,success,1725,3,41,1681,30.242334
43,2026-08-03 12:09:49.375754,2026-08-03 12:10:23.478745,success,1725,0,38,1687,34.102991
44,2026-08-03 12:13:21.237185,2026-08-03 12:13:59.854720,success,1762,37,46,1679,38.617535
